,lemma,pos,freq
741,mulitplayer,ADV,1
742,minigame,NOUN,10
743,samen,ADV,3652
744,sky,PROPN,6
745,wars,ADJ,14
746,minecraft,PROPN,129
747,clash,NOUN,12
748,clan,NOUN,74
749,boom,NOUN,3236
750,Beach,PROPN,11
751,oprichten,VERB,57
752,vechten,VERB,751
753,overwinnen,VERB,16
754,blijf,VERB,26
755,60,NUM,112
756,Ponykamp,PROPN,3
757,Hogerheide,PROPN,3
758,5,NUM,2956
759,augustus,PROPN,85
760,voeren,VERB,717
761,gezellig,ADJ,2556
762,half,ADJ,1833
763,bos,NOUN,3474
764,eerst,ADV,5074
765,poos,NOUN,63
766,stap,NOUN,1036
767,draven,VERB,47
768,Ginger,PROPN,9
769,crossen,VERB,140
770,dat.,PUNCT,370
771,zacht,ADJ,1796
772,daarheen,ADV,131
773,filmp,NOUN,529
774,stelen,VERB,764
775,gingen,VERB,184
776,stopten,VERB,12
777,u,PRON,1956
778,misschien,ADV,6749
779,keer,NOUN,8519
780,paashaas,NOUN,400
781,paaseier,NOUN,224
782,opeten,VERB,417
783,springen,VERB,3387
784,suikerspin,NOUN,102
785,dompsie,NOUN,8
786,duren,VERB,1279
787,Tring,PROPN,16
788,tring,NOUN,95
789,Neerstortingsgevaar,PROPN,1
790,neerstortingsgevaar,PROPN,1
791,aah,NOUN,4
792,o,SYM,89
793,nee,INTJ,5149
794,Plons,PROPN,37
795,geheim,ADJ,277
796,opblaasboo,NOUN,1
797,zwom,VERB,132
798,strand,NOUN,1087
799,…,PUNCT,729
800,aankomen,VERB,765
801,are,SYM,13
802,America,PROPN,6
803,Amerika,PROPN,438
804,Oh,SYM,673
805,thuis,ADV,5522
806,nooit,ADV,3891
807,helikopter,NOUN,213
808,regelen,VERB,154
809,prutsen,VERB,8
810,oeps,NOUN,24
811,verkeerd,ADJ,668
812,Aaah,SYM,5
813,!,SYM,9453
814,verzorgen,VERB,2540
815,krijgen,AUX,398
816,vraag,VERB,131
817,dierenverzorger,NOUN,73
818,opeens,ADV,3194
819,vogelgriep,NOUN,4
820,Vogels,NOUN,964
821,besmettelijk,ADJ,11
822,trekvogel,NOUN,14
823,vogelpoep,NOUN,9
824,vraag,NOUN,826
825,boerderij,NOUN,474
826,kinderboerderij,NOUN,127
827,sluiten,VERB,340
828,Einde,NOUN,6795
829,meestal,ADV,3970
830,kunst,NOUN,3171
831,aardig,ADJ,1309
832,baas,NOUN,1479
833,vrijwel,ADV,6
834,niks,PRON,5013
835,uitmaken,VERB,433
836,circus,NOUN,5026
837,professioneel,ADJ,32
838,leeuw,NOUN,1990
839,rondkijken,VERB,164
840,zeker,ADJ,1171
841,luxe,ADJ,184
842,slecht,ADJ,3210
843,behandelen,VERB,959
844,beest,NOUN,660
845,dj,NOUN,61
846,rijk,ADJ,571
847,geld,NOUN,4019
848,doel,NOUN,483
849,overhouden,VERB,61
850,draaien,VERB,552
851,beroemd,ADJ,446
852,frustreren,VERB,4
853,gek,ADJ,1186
854,iPhone,NOUN,196
855,iPad,PROPN,205
856,tv-kijken,VERB,189
857,vertrouwen,VERB,92
858,betrouwbaar,ADJ,35
859,gamerug,NOUN,1
860,vierkan,NOUN,25
861,oog,NOUN,2619
862,nagelstylist,NOUN,4
863,nagel,NOUN,236
864,lakken,VERB,58
865,lak,NOUN,13
866,hand,NOUN,1737
867,ten,NOUN,60
868,daarvoor,ADV,475
869,beautykiste,NOUN,1
870,nagellak,NOUN,52
871,nagelremover,NOUN,1
872,wat,NOUN,8
873,beautykist,NOUN,1
874,zomerkleurt,NOUN,1
875,donker,ADJ,916
876,licht,ADJ,182
877,iedereen,PRON,6220
878,paaslunch,NOUN,13
879,speel,NOUN,50
880,lokaal,ADJ,57
881,groeien,VERB,343
882,bloem,NOUN,640
883,boyes,NOUN,1
884,eks,NOUN,2
885,weer,NOUN,1680
886,Pasen,PROPN,475
887,ei,NOUN,1636
888,Schilderen,VERB,8
889,Gezellig,ADJ,25
890,hopen,VERB,2141
891,Jezus,PROPN,488
892,opgestaan,VERB,42
893,Kerstmis,PROPN,139
894,opstaan,VERB,362
895,geloven,VERB,558
896,verveelen,VERB,279
897,me.,SYM,103
898,krant,NOUN,283
899,herfsttocht,NOUN,7
900,rende,VERB,600
901,moeten,VERB,1598
902,kwartier,NOUN,420
903,Yes,SYM,301
904,zin,NOUN,3011
905,stappen,VERB,659
906,meneer,NOUN,1465
907,hallo,INTJ,751
908,groet,VERB,40
909,hier,ADV,3671
910,minuut,NOUN,3074
911,huilen,VERB,1127
912,doei,NOUN,1605
913,vertellen,VERB,2993
914,deur,NOUN,2630
915,buitenlucht,NOUN,56
916,houd,VERB,32
917,drinken,VERB,4093
918,PlayStation,PROPN,202
919,verstoppen,VERB,636
920,knutselen,VERB,1094
921,voetbal,NOUN,4531
922,kussengevecht,NOUN,40
923,slmeestje,NOUN,1
924,motor,NOUN,1552
925,veren,VERB,85
926,raamp,NOUN,106
927,eit,NOUN,247
928,baby,NOUN,908
929,zelfs,ADV,1640
930,besturen,VERB,601
931,verschillen,VERB,186
932,hobby,NOUN,2097
933,galopperen,VERB,84
934,binnenkort,ADV,100
935,wedstrijd,NOUN,2926
936,galop,NOUN,111
937,één,ADJ,3135
938,Pancho,PROPN,4
939,twee,ADJ,1268
940,Viola,PROPN,9
941,kennen,VERB,1996
942,Yin,NOUN,2
943,Dany,PROPN,3
944,Puk,PROPN,86
945,Drieske,PROPN,2
946,Cesar,PROPN,8
947,Epke,PROPN,14
948,Simba,PROPN,40
949,Rafellie,PROPN,2
950,Toontje,NOUN,2
951,Roxet,PROPN,2
952,veulen,NOUN,80
953,Zoë,PROPN,152
954,Rover,PROPN,8
955,Joe,PROPN,19
956,Lukij,PROPN,2
957,Girl,PROPN,3
958,Naferieno,PROPN,2
959,Balanz,PROPN,2
960,Keifa,PROPN,2
961,Ferro,PROPN,2
962,Nootje,PROPN,2
963,Donna,PROPN,93
964,Bas,PROPN,727
965,Silferad,PROPN,2
966,Natasja,PROPN,11
967,Fijza,PROPN,2
968,Solgar,PROPN,2
969,Sunnie,PROPN,3
970,Bakardi,PROPN,2
971,brandstof,NOUN,333
972,landingsgestel,NOUN,14
973,poten,VERB,336
974,metaal,NOUN,269
975,propeller,NOUN,104
976,20,NUM,608
977,architect,NOUN,75
978,leef,VERB,15
979,Jaguar,PROPN,4
980,maak,VERB,161
981,verzinen,VERB,71
982,modern,ADJ,116
983,E.,PROPN,24
984,vrouw,NOUN,1395
985,Boskat,NOUN,1
986,heeeeeeeeeel,ADJ,4
987,Landsheez,PROPN,1
988,Maas,PROPN,37
989,prachtig,ADJ,333
990,uitzicht,NOUN,104
991,privéjacht,NOUN,4
992,jacht,NOUN,155
993,v,NOUN,217
994,zij,PRON,3966
995,tijdlopen,VERB,1
996,heeeeeeeeeeel,ADJ,1
997,Maasduinen,PROPN,1
998,vuursalamander,NOUN,3
999,Limburg,PROPN,72
1000,keken,VERB,159
1001,blauw,ADJ,1002
1002,hemel,NOUN,82
1003,voorbij,ADJ,721
1004,ernaar,ADV,110
1005,hoog,ADJ,2261
1006,snelheid,NOUN,107
1007,proberen,VERB,1445
1008,lukken,VERB,1225
1009,ander,ADV,1108
1010,looping,NOUN,20
1011,zwaar,ADJ,717
1012,speels,ADJ,968
1013,schattig,ADJ,2591
1014,kwispelstaartje,NOUN,2
1015,tonge,NOUN,4
1016,tam,ADJ,232
1017,big,NOUN,12
1018,gei,NOUN,16
1019,hooiberg,NOUN,13
1020,duiken,VERB,259
1021,niemand,PRON,2085
1022,klomp,NOUN,10
1023,puzzeltocht,NOUN,5
1024,stuur,NOUN,214
1025,botsing,NOUN,33
1026,ge,PRON,40
1027,politiebureau,NOUN,71
1028,diermishandeling,NOUN,323
1029,slaan,VERB,2121
1030,mishandeld,VERB,627
1031,ieder,DET,939
1032,geval,NOUN,505
1033,beroep,NOUN,200
1034,oneens,ADJ,344
1035,moe,ADJ,1097
1036,type,NOUN,303
1037,snap,AUX,11
1038,hoor,INTJ,1475
1039,W8,PROPN,329
1040,gwn,PROPN,76
1041,ww,DET,1
1042,wachtwoord,NOUN,120
1043,wdj,NOUN,33
1044,Mz,PROPN,9
1045,Bdlje,PROPN,1
1046,bedoelen,VERB,755
1047,im,SYM,3
1048,Wrm,INTJ,1
1049,schrijf,VERB,1120
1050,taal,NOUN,2595
1051,letten,VERB,481
1052,komma,NOUN,404
