lemma1,lemma2,freq
jury,bepalen,2
hutt,bouwen,128
kind,houden,62
niets,zitten,10
werkstuk,gaan,2
je,opzoeken,100
mens,zeggen,373
vierkant,oog,118
lente,vinden,30
nieuw,bloem,4
bloem,vinden,8
mooi,kleur,85
ze,ruiken,259
ik,Lauren,1
broer,hebben,314
Babsie,heten,2
Vincent,werken,1
klus,doen,70
ding,maken,254
goed,tijd,27
die,houden,191
Jantje,gaan,28
leeuuw,horen,1
jantje,gaan,3
hij,zijn,1380
Jantje,vallen,2
bloeding,hebben,3
teen,hebben,2
dokter,zeggen,78
dat,gebeuren,529
hij,heten,1099
hond,verschillen,3
Fries,stabij,22
tand,houden,4
gebruik,houden,1
kauwbot,houden,1
hond,eten,466
kind,moeten,236
telefoon,moeten,24
van,vinden,111
je,brengen,166
school,bellen,23
mens,bellen,88
ouder,bellen,250
crimine,gaan,1
ding,vragen,18
crimine,inbreken,1
telefoon,mogen,145
we,keken,49
Voice,keken,1
erge,hebben,12
buikpijn,hebben,49
ik,slapen,772
moeder,masseren,1
buik,masseren,1
heel,nacht,62
kramp,komen,1
moeder,gaan,310
ik,testen,3
ik,doorsturen,1
ziekenhuis,bellen,8
plaats,hebben,30
ze,belden,37
ziekenhuis,belden,2
ander,ziekenhuis,3
we,wachten,223
ik,prikken,10
bloed,prikken,4
blindedarmontsteking,hebben,3
test,komen,1
niks,zijn,187
ik,opgelucht,2
het,brengen,35
het,dragen,13
wieak,draaien,6
graan,malen,7
steen,doen,3
we,verkopen,40
zoveel,doen,38
doolhof,doen,2
dier,opsluiten,95
dier,zitten,775
ze,moeten,917
vrij,leven,64
wat,vinden,1904
ik,voetballen,564
één,helft,93
helft,beginnen,24
twee,helft,112
ik,wisselen,11
sommig,gaan,42
ik,nemen,347
penalty,nemen,22
droomhuis,voldoen,1
uitzicht,hebben,40
rood,liggen,2
ik,binnenkomen,20
geel,tapijt,1
goudkleurig,kroonluchter,1
ik,doorloop,1
plasma-tv,staan,1
u,staan,6
springkasteel,staan,1
tien,verdieping,1
goed,keukenapparatuur,1
je,lezen,396
je,Snap,12
dier,zijn,583
die,uitmaken,4
dier,horen,478
vrij,natuur,217
leven,geven,23
directeur,willen,2
geld,willen,36
paar,zijn,34
warm,hok,23
u,vinden,52
ze,rijden,243
hem,doen,254
hem,Brengen,2
truc,doen,499
ze,tegenstribbelen,2
pats,tegenstribbelen,1
slag,weggehalen,1
hulpeloos,dier,2
die,missen,17
kind,missen,9
dit,kunnen,98
mening,zijn,201
veel,leren,1221
vreemd,dier,254
normale/andere,dier,1
dier,gaan,245
die,overleven,19
die,bedreigen,61
groot,dier,75
geldspoor,zien,1
ik,volgen,56
het,volgen,11
eiland,zien,14
ik,horen,1412
big,horen,1
geluid,volgen,6
big,volgen,1
Big,zien,4
wie,maken,12
boerderij,maken,8
iemand,praten,10
iemand,zien,168
hij,lijken,66
hij,riep,12
vriend,riep,2
Storm,zien,2
mij,zien,72
goud,vallen,1
jij,zeggen,112
hij,boeien,1
wat,boeien,10
dat,boeien,26
hij,Riep,6
die,gebeuren,22
boom,gebeuren,2
we,dood,4
hem,dood,3
draai,maken,3
pijn,hebben,420
Sum,schieten,1
hem,schieten,31
geld,komen,14
ik,gilde,43
je,Wil,287
geld,hebben,450
"900,000",hebben,1
iPad,vinden,18
leuk,vinden,176
elk,doen,5
Suus,hebben,1
kip,hebben,43
mens,komen,421
wat,kopen,104
je,kopen,654
kippenvoer,kopen,1
ander,mens,665
stuk,gaan,105
snel,stuk,13
piratenschip,vinden,1
leuk,piratenschip,1
je,karten,3
wij,gaan,1369
baan,hebben,88
blauw,baan,2
rood,baan,2
zwart,baan,2
baan,doen,7
ik,hing,19
je,staan,298
je,lopen,451
je,hangen,33
ik,viel,36
je,boogschieten,5
Tv,kijken,73
tablet,kijken,4
voetbal,kijken,74
leuk,kijken,3
goed,club,56
tablet,vinden,18
veel,kijken,8
klimrek,doen,2
leuk,klimrek,2
je,knikkeren,20
je,schommelen,63
slecht,weer,399
proefjesmiddag,hebben,3
ik,helpen,367
toffeethee,hebben,1
glas,dompelen,1
koud,water,25
glas,worden,1
warm,glas,2
glas,blijven,1
koud,glas,2
ik,uitgeprobeerd,3
proef,uitgeprobeerd,1
iets,gebeuren,482
ik,proberen,236
het,maken,1160
we,liepen,222
klas,liepen,3
groep,krijgen,33
lief,groep,1
jongen,zitten,57
jarig,jongen,1
die,denken,121
glas,halen,3
water,halen,30
schoon,glas,1
meisje,kauwen,1
half,uur,538
Isis,leren,1
ik,leren,443
ik,snapte,19
moeilijk,ding,20
je,Weet,557
Vogels,flapperen,23
vogels,drinken,10
vliegtuig,werken,112
vogel,bouwen,165
nest,bouwen,290
vogels,leggen,42
Vliegtuig,tanken,35
worm,eten,43
Vogels,drinken,23
water,drinken,452
cavia,hebben,38
Kareltje,heten,2
brokk,eten,368
hij,houden,253
ze,oefenen,116
kunst,oefenen,9
je,afbeulen,1
ze,afbeulen,1
dat,denken,384
ze,geven,1054
iets,geven,39
doel,hebben,18
leuk,hebben,27
circus,gaan,30
mens,gaan,490
gevoel,hebben,138
ze,klappen,8
ze,zien,2630
zwemmen,leren,2
roggen,zwemmen,1
jongen,klimmen,3
verblijf,maken,9
idee,hebben,327
blinddoek,krijgen,7
stilte,horen,1
doods,stilte,4
ik,afdeed,3
blinddoek,afdeed,2
ik,geloven,182
oog,geloven,35
opdracht,doen,62
vrij,opdracht,9
ik,rijden,405
paard,rijden,50
dit,doen,368
veel,kennen,21
kind,wonen,54
vriendinne,hebben,25
zij,heten,109
Sterre,heten,3
haar,kennen,19
vriendin,hebben,275
ik,halen,462
vriendin,halen,15
tvserie,spelen,1
dat,heten,250
ik,zingden,3
hij,skateboard,2
Hut,bouwen,5
vriend,vinden,49
gitaar,spelen,46
mooi,muziek,17
gitaar,hebben,18
verschillend,soort,403
elektrisch,gitaar,14
akoestisch,gitaar,9
tennisracket,doen,1
ik,trainen,296
je,trainen,210
veel,trainen,18
sport,vinden,237
groot,held,4
hij,schieten,139
hij,spelen,384
fiets,komen,34
Wim,proberen,23
fiets,halen,32
hij,zitten,772
hij,komen,1903
nat,voet,106
tv,worden,1
tv,vinden,29
ander,huis,37
ding,vinden,160
ik,opstaan,73
dat,vermoeien,22
zon,komen,39
zonnebril,halen,1
iets,kopen,155
bff,komen,2
ik,vragen,663
zij,willen,142
het,overnemen,13
dat,willen,1060
we,kochen,17
suikerspin,kochen,1
verhaal,hebben,32
mooi,verhaal,20
niks,doen,989
agent,gaan,8
die,gooien,50
iemand,gooien,14
boef,hebben,9
mes,hebben,32
hij,maken,585
slot,maken,8
geld,liggen,7
hij,nemen,209
alles,nemen,8
agent,stappen,2
hij,roepen,248
politie,roepen,10
agent,zijn,6
agent,pakken,2
zij,pakken,14
pistool,pakken,18
stop,roepen,4
hem,sloegen,6
hond,kunnen,174
commando,kunnen,3
ander,hond,455
opstel,houd,3
haai,noemen,2
ze,noemen,194
wit,haai,16
dat,vaststaan,6
zeehond,staan,1
camouflage,hebben,2
goed,camouflage,3
heel,wereld,404
haai,spoelen,1
hondshaai,spoelen,1
klein,haai,2
driehonderdenzeventig,zijn,1
haai,zijn,12
verschillend,haai,1
veel,schrijven,47
je,leer,713
woord,schrijven,727
ik,snapen,659
het,snapen,123
Kind,zitten,24
het,blijven,336
woord,gebruiken,309
iedereen,gebruiken,74
project,openen,4
project,gaan,15
toneelstuk,zijn,7
leuk,toneelstuk,3
die,vastgebonden,5
hij,stelen,95
paard,stelen,25
kleuter,gaan,5
woord,bedenken,14
wat,horen,142
kleren,horen,1
Stap,neem,2
broodje,neem,1
plak,leggen,117
kaas,neem,1
stuk,doen,118
brood,leggen,194
het,laat,17
je,halen,638
hem,halen,213
kaas,smelten,59
ze,worden,1337
hok,krijgen,239
geweldig,hok,1
circuss,verhuizen,1
dier,krijgen,594
ruimte,krijgen,112
klein,ruimte,58
dier,mogen,152
iemand,weten,22
geld,verdienen,416
mens,vinden,1319
dier,doen,804
mens,raken,35
die,staan,424
verzorger,willen,6
dierentuin,blijven,1224
wij,komen,96
ding,weten,75
nieuw,ding,109
dier,ontdekken,14
nieuw,dier,104
veel,blijven,3
je,jagen,18
voetbal,vinden,313
iets,vertellen,197
je,scoorn,9
lekker,slide,1
bal,hebben,192
je,opassen,2
overtreding,maken,30
smerig,overtreding,1
je,schorsen,8
VRIJE,TIJD,1
kind,gaan,904
vrij,tijd,353
geld,kosten,433
uitrusting,kosten,1
kind,kiezen,56
dag,gaan,94
je,moeten,1032
ruimt,hebben,1
dier,blijven,271
dier,weggaan,15
dier,komen,232
speciaal,vogel,1
je,reizen,43
aap,zien,41
het,kijken,79
dier,zien,829
hetzelfde,zien,18
jij,vinden,384
je,zetten,332
je,verveel,49
groot,ocea,1
dierenreservaat,blijven,1
wat,hebben,531
hamster,hebben,38
Knabbel,heten,2
baby,zijn,28
dat,zijn,1016
keuken,passen,1
uur,kijken,5
tv,kijken,1267
spellet,doen,1106
je,computeren,165
veel,computeren,19
ik,genieten,48
warm,weer,31
zus,zijn,36
ander,zus,18
hij,laten,337
band,laten,1
band,gaan,15
dat,maken,667
niks,maken,334
leuk,glijbaan,12
spannend,boek,53
meester,vragen,12
jullie,gaan,198
sportcarrière,beginnen,1
jullie,moeten,17
jullie,Willen,32
dat,Willen,2
Hidde,zeiden,1
laat,sportcarrière,1
minpunt,zijn,10
kind,hebben,1770
Dyslexie,hebben,16
je,wil,19
paasdag,doen,1
broer,zoeken,7
ik,zoeken,257
1,paasdag,2
één,paasei,1
er,hebben,83
negentien,hebben,1
2,paasdag,6
heel,familie,261
kind,maken,218
eigen,huis,77
cadeau,geven,118
groot,cadeau,39
oma,weten,5
haar,geven,44
euro,krijgen,100
opa,maken,12
die,verkopen,47
hij,verkopen,37
het,spelen,255
touwtjespringen,kunnen,1
bezigheid,kunnen,1
favoriet,bezigheid,2
buskruit,doen,13
het,variëren,2
wie,lezen,5
dit,lezen,60
ik,praten,149
ik,afvragen,196
bot,vinden,21
jij,Vind,54
wie,vinden,27
die,stellen,13
ik,stellen,45
ze,jagen,331
ze,Vindt,1
dat,Vindt,5
zij,kijken,9
rennen,lijken,1
ze,spelen,1912
ze,staan,552
die,zitten,929
ik,opzoeken,8
iets,opzoeken,30
ik,twijfelen,37
kind,willen,281
zij,bepalen,7
ik,bepaalen,11
eigen,leven,64
Lars,vragen,3
ik,schreeuwen,79
we,moeten,767
we,pakken,134
Milou,zeggen,2
we,zeggen,165
Lars,zeggen,14
we,fietsen,178
we,zetten,143
fiets,zetten,103
optocht,beginnen,4
Geachte,mevrouw,9
groot,veld,42
voetballen,fietsen,3
ik,fietsen,368
kans,bestaan,3
u,overleggen,1
conclusie,komen,2
voetbalveld,komen,7
vriendelijk,groet,357
keiden,vinden,5
dit,vinden,399
ik,eten,890
hem,eten,84
verhaal,vinden,26
olifant,bedreigen,6
hetzelfde,vinden,14
hond,maken,136
mening,hebben,185
je,mogen,911
eigen,mening,133
band,hebben,142
goed,band,22
Romeins,tijd,31
tijd,zijn,67
ding,uitvinden,10
dierentuin,mogen,98
hokk,maken,70
spul,hebben,95
dier,bedreigen,88
één,leven,3
je,meenemen,173
paar,meenemen,1
dier,brengen,47
kind,zien,227
paar,doen,4
twee,zijn,19
geluk,zijn,2
blauw,huis,9
huis,zijn,114
bord,Pak,48
plak,Leg,98
kaas,Pak,43
koekenpan,Pak,5
boter,Smelt,6
deksel,doe,183
klein,deksel,3
brood,smul,192
lekker,brood,44
ouder,weten,106
ikzelf,vinden,133
eigen,kind,24
ik,snap,376
het,snap,54
die,blaffen,39
lammet,zijn,7
je,optillen,35
ze,optillen,19
drinken,krijgen,25
we,leren,244
Lammetjes,hebben,1
hel,hebben,3
wol,hebben,3
ze,scheren,2
schap,zijn,1
die,optillen,2
lammet,geboren,20
juffrouw,optilen,1
lamme,optilen,2
boot,zinken,7
pak,weggedreven,1
Piet,strooien,4
geld,strooien,3
cake,bakken,29
wij,proeven,1
ik,verveel,156
ijsje,eten,167
activiteit,zijn,20
dat,noemen,111
we,noemen,89
Breeland,noemen,1
we,eten,773
Stok,opknappen,1
we,mochten,207
vlot,bouw,1
het,redden,56
fiets,eten,2
survivallen,eten,1
Baldwinhoeve,fiets,1
bon,geluid,1
2,groep,2
laat,groep,11
spul,pakken,97
Marjan,terugtocht,1
musical,kijken,2
ze,dansen,52
