lemma1,lemma2,freq
zijn,brommer,27
brommer,naar,7
naar,huis,6273
huis,hij,278
hij,wonen,233
wonen,een,105
beetje,achteraf,1
achteraf,hij,1
hij,gaan,2445
gaan,als,365
als,altijd,30
altijd,langs,5
langs,de,367
de,koei,141
koei,hij,6
hij,willen,888
willen,altijd,96
altijd,al,92
al,een,1187
een,koe,85
koe,hij,7
hij,besluit,9
besluit,even,2
even,te,49
te,stoppen,115
stoppen,voor,9
koei,de,8
koei,kijken,3
kijken,hem,29
hem,aan,355
aan,hij,219
even,in,128
wei,te,3
te,rijden,98
rijden,maar,167
dan,komen,1249
komen,de,1409
de,boer,177
boer,eraan,3
eraan,Wegwezen,1
Wegwezen,zeggen,2
zeggen,de,1994
boer,hij,8
hij,rijden,96
rijden,uit,4
uit,de,2198
wei,de,6
de,volgen,2760
volgen,dag,1804
dag,gaan,1271
hij,gewoon,49
gewoon,weer,130
weer,als,43
als,elk,15
elk,dag,1993
dag,langs,6
hij,stoppen,62
stoppen,weer,2
weer,bij,147
rijden,steeds,2
steeds,een,78
een,stuk,1026
stuk,ver,33
ver,in,75
wei,maar,3
dan,zet,151
zet,hij,17
zijn,voet,339
voet,op,30
het,pedaal,1
pedaal,hij,1
gaan,vol,4
vol,gas,8
gas,door,2
door,het,1116
het,weiland,74
weiland,hij,7
willen,stoppen,19
dat,kunnen,2077
kunnen,niet,3685
niet,de,1349
boer,overeenkomen,1
overeenkomen,eraan,3
eraan,en,120
en,kijken,491
kijken,naar,752
hij,zien,902
zien,een,1313
een,jongen,1007
jongen,vol,1
weiland,rijden,2
dan,zien,619
zien,hij,1076
hij,dat,432
dat,hij,2174
hij,vallen,473
vallen,de,154
boer,rent,1
rent,ernaartoe,1
ernaartoe,en,91
en,zien,978
jongen,in,62
de,koeienpoep,3
koeienpoep,liggen,2
liggen,de,111
de,jongen,1171
jongen,staan,12
staan,op,833
op,en,2447
en,zijn,3221
zijn,gezicht,73
gezicht,zitten,6
zitten,helemaal,72
helemaal,onder,37
vinden,hond,2843
hond,niet,614
niet,leuk,7407
leuk,omdat,5218
omdat,sommig,147
sommig,hond,886
hond,bijten,98
bijten,en,315
en,ze,15174
ze,rennen,347
rennen,heel,73
heel,hard,1639
hard,want,11
want,als,3454
als,ik,6492
ik,een,5138
een,hond,6520
hond,zien,187
zien,zijn,301
ik,bang,140
een,ananas,167
ananas,leggen,28
leggen,je,498
je,op,1902
op,je,2065
je,broodje,84
broodje,Leg,2
Leg,er,61
er,kaas,24
kaas,op,236
op,doe,45
doe,wat,21
wat,boter,80
boter,op,58
de,pan.,825
pan.,Erna,1
Erna,zijn,4
de,boter,294
boter,smelten,104
smelten,Leg,32
Leg,dan,71
dan,je,243
je,brood,367
brood,op,173
de,pan,814
pan,waar,5
waar,de,430
boter,zijn,46
zijn,smelten,80
Leg,een,84
een,deksel,388
deksel,op,328
pan,en,571
en,voilànen,2
voilànen,je,2
brood,zijn,19
zijn,klaar,421
klaar,lekker,9
lekker,smullen,90
ze,mogen,869
mogen,niet,934
niet,waarom,262
waarom,kwijt,1
kwijt,worden,7
worden,en,2278
en,nummer,10
nummer,niet,45
niet,weten,697
weten,en,208
en,kinder,2
kinder,pakken,1
pakken,een,379
een,je,16
je,mobiel,435
mobiel,en,330
en,geen,468
geen,belgeluid,1
belgeluid,in,1
in,klas,25
klas,geen,4
geen,spel,17
spel,in,14
de,klas,1919
klas,met,38
met,je,2884
mobiel,Pestkoppen,1
Pestkoppen,plagen,1
plagen,je,2
je,en,556
en,pakken,295
pakken,je,19
mobiel,een,26
een,mobiel,2217
mobiel,worden,8
worden,kapot,6
kapot,in,12
