,lemma,pos,freq
419,"('vogel', 'vliegtuig')","('nsubj', 'ROOT')",28
420,"('klein', 'vliegtuig')","('amod', 'ROOT')",5
421,"('licht', 'zwaar')","('nsubj', 'ROOT')",3
422,"('zijn', 'zwaar')","('cop', 'ROOT')",198
423,"('stoel', 'hebben')","('obj', 'ROOT')",162
424,"('zijn', 'lief')","('cop', 'conj')",652
425,"('zijn', 'schattig')","('cop', 'conj')",295
426,"('kwispelstaartje', 'hebben')","('obj', 'conj')",1
427,"('lief', 'kwispelstaartje')","('amod', 'obj')",1
428,"('lief', 'tonge')","('amod', 'conj')",1
429,"('big', 'zien')","('obj', 'ROOT')",2
430,"('gei', 'zien')","('obj', 'ROOT')",1
431,"('klomp', 'gaan')","('obj', 'ROOT')",1
432,"('puzzeltocht', 'gaan')","('obj', 'ROOT')",1
433,"('botsing', 'hebben')","('obj', 'ROOT')",3
434,"('politie', 'gaan')","('nsubj', 'ROOT')",34
435,"('zijn', 'op')","('cop', 'conj')",48
436,"('zijn', 'vuur')","('cop', 'ROOT')",9
437,"('zijn', 'diermishandeling')","('cop', 'ROOT')",71
438,"('zijn', 'mening')","('cop', 'ROOT')",787
439,"('zijn', 'oneens')","('cop', 'ROOT')",210
440,"('afkorting', 'vinden')","('obj', 'ROOT')",41
441,"('zin', 'hebben')","('obj', 'conj')",308
442,"('Mz', 'mooi')","('nsubj', 'ROOT')",5
443,"('Bdlje', 'bedoelen')","('nsubj', 'ROOT')",1
444,"('professor', 'zien')","('obj', 'ROOT')",5
445,"('professor', 'zien')","('obj', 'conj')",3
446,"('eiertruc', 'zien')","('obj', 'ROOT')",1
447,"('ei', 'breken')","('obj', 'ROOT')",1
448,"('professor', 'zeggen')","('nsubj', 'ROOT')",8
449,"('professor', 'pakken')","('nsubj', 'conj')",2
450,"('ei', 'pakken')","('obj', 'conj')",4
451,"('kind', 'krijgen')","('nsubj', 'ccomp')",81
452,"('mobieltje', 'krijgen')","('obj', 'ccomp')",38
453,"('zijn', 'slecht')","('cop', 'conj')",277
454,"('lucht', 'gebruiken')","('obj', 'conj')",1
455,"('fris', 'lucht')","('amod', 'obj')",280
456,"('hond', 'schattig')","('nsubj', 'conj')",6
457,"('zijn', 'sterk')","('cop', 'conj')",92
458,"('hobby', 'hebben')","('obj', 'ROOT')",121
459,"('hobby', 'dansen')","('nsubj', 'ROOT')",54
460,"('zijn', 'dansen')","('cop', 'ROOT')",43
461,"('beetje', 'houden')","('obj', 'conj')",3
462,"('hobby', 'tekenen')","('obj', 'ROOT')",1
463,"('jury', 'bepalen')","('nsubj', 'ROOT')",2
464,"('hutt', 'bouwen')","('obj', 'conj')",37
465,"('kind', 'houden')","('nsubj', 'ROOT')",30
466,"('mens', 'zeggen')","('nsubj', 'ROOT')",211
467,"('vierkant', 'oog')","('amod', 'obj')",112
468,"('lente', 'vinden')","('obj', 'ROOT')",17
469,"('bloem', 'groeien')","('nsubj', 'ROOT')",23
470,"('nieuw', 'bloem')","('amod', 'nsubj')",2
471,"('bloem', 'vinden')","('obj', 'ROOT')",6
472,"('mooi', 'kleur')","('amod', 'obl')",5
473,"('zijn', 'Lauren')","('cop', 'ROOT')",1
474,"('broer', 'hebben')","('obj', 'ROOT')",147
475,"('hond', 'hebben')","('obj', 'ROOT')",2075
476,"('Vincent', 'werken')","('nsubj', 'ROOT')",1
477,"('klus', 'doen')","('obj', 'ROOT')",33
478,"('ding', 'maken')","('obj', 'conj')",57
479,"('goed', 'tijd')","('amod', 'ROOT')",10
