,lemma1,lemma2,freq
563,16e,verschillen,1
564,16jarige,zeggen,1
565,17,hebben,1
566,17,overlijden,1
567,"17,00",geven,1
568,17-1,scoren,1
569,17-2,staat,1
570,175,doen,2
571,175,moeten,2
572,175,zetten,1
573,17:15,gaan,1
574,17c,wachten,1
575,17e,eeuw,1
576,17e,verschillen,1
577,18,doen,1
578,18,gaan,1
579,18,kopen,1
580,18,moeten,1
581,18,omwisselen,1
582,18,spel,1
583,18,vinden,1
584,18,zingen,1
585,18-12-11,maken,1
586,18-jarig,leeftijd,1
587,18-jarig,meid,1
588,180,gooien,1
589,180,roep,1
590,1807,staat,1
591,180c,maken,1
592,1810,zeggen,1
593,188,spelen,1
594,18:00,gaan,1
595,18de,keren,1
596,18de,plek,1
597,18e,verschillen,1
598,18jarige,kind,1
599,18plus,spellen,1
600,19,winnen,1
601,19,zijn,1
602,19-24,stond,1
603,1921,geboren,2
604,1938,gebruikt,1
605,1940,toetsen,1
606,1945,bevrijden,1
607,1a-theorie,kiezen,1
608,1d,hebben,1
609,1djes,maken,1
610,1e,brief,1
611,1e,cavia,1
612,1e,dag,4
613,1e,gaan,1
614,1e,hebben,1
615,1e,helft,2
616,1e,honk,1
617,1e,indruk,1
618,1e,jaar,4
619,1e,joepie,1
620,1e,keren,2
621,1e,kerstdag,2
622,1e,keuze,1
623,1e,klas,3
624,1e,klasse,4
625,1e,minuut,1
626,1e,mogen,1
627,1e,ontmoeten,1
628,1e,paasdag,1
629,1e,pauze,1
630,1e,plaats,2
631,1e,plek,5
632,1e,ronde,1
633,1e,set,1
634,1e,show,2
635,1e,single,1
636,1e,staan,2
637,1e,staat,1
638,1e,stappen,1
639,1e,stelling,1
640,1e,stond,1
641,1e,stoppen,1
642,1e,uur,1
643,1e,verschillen,1
644,1e,wedstrijd,6
645,1e,zijn,1
646,1rste,verdieping,1
647,1ste,halen,1
648,1ste,keren,3
649,1ste,kerst,1
650,1ste,kerstdag,2
651,1ste,klasse,1
652,1ste,minuut,1
653,1ste,paasdag,1
654,1ste,plaats,1
655,1ste,plek,2
656,1ste,punt,1
657,1ste,ronde,1
658,1ste,schot,1
659,1ste,staan,1
660,1ste,verdieping,1
661,1ste,vluchten,1
662,1ste,wedstrijd,1
663,1ste,weg,1
664,1ste,werkdag,1
665,1ste,winnen,1
666,1x,doen,2
667,1x,eten,1
668,1x,gaan,1
669,1x,komen,1
670,1x,maken,1
671,1x,trainen,1
672,1x,uitlaat,1
673,1x,verliezen,2
674,1x,vouwen,2
675,2,afbreken,1
676,2,besloten,1
677,2,bewegen,1
678,2,blijven,1
679,2,dansen,1
680,2,doen,8
681,2,dragen,1
682,2,duren,1
683,2,eten,4
684,2,fietsen,1
685,2,gaan,3
686,2,gooien,1
687,2,halen,1
688,2,hebben,25
689,2,kneden,1
690,2,komen,3
691,2,kopen,2
692,2,krijgen,4
693,2,leggen,2
694,2,lopen,1
695,2,maken,3
696,2,moeten,2
697,2,nemen,3
698,2,niezen,1
699,2,omdraaien,2
700,2,overslaan,1
701,2,raken,1
702,2,reizen,1
703,2,rijen,2
704,2,schrijven,2
705,2,scoren,2
706,2,slaan,1
707,2,snijden,1
708,2,spel,1
709,2,spelen,1
710,2,staan,2
711,2,stijgen,1
712,2,stond,2
713,2,trekken,1
714,2,vallen,1
715,2,vechten,1
716,2,verliezen,3
717,2,verstoppen,1
718,2,vieren,1
719,2,vinden,5
720,2,vlieg,1
721,2,vliegen,1
722,2,voegen,1
723,2,vouw,1
724,2,weet,1
725,2,winnen,1
726,2,wissen,1
727,2,worden,1
728,2,zeggen,1
729,2,zet,1
730,2,zetten,1
731,2,zijn,5
732,2,zit,3
733,2,zitten,2
734,2,zwemmen,1
735,"2,50",€,1
736,2-0,maken,1
737,2-0,scoren,3
738,2-0,stond,1
739,2-0,verliezen,5
740,2-0,winnen,6
741,2-0,worden,1
742,2-1,afkeuren,1
743,2-1,maken,3
744,2-1,schieten,1
745,2-1,scoren,15
746,2-1,staan,1
747,2-1,staat,2
748,2-1,verliezen,3
749,2-1,winnen,6
750,2-1,worden,4
751,2-2,gespeelt,1
752,2-2,hebben,2
753,2-2,maken,4
754,2-2,scoren,6
755,2-2,spelen,4
756,2-2,staan,3
757,2-3,gaan,1
758,2-3,schieten,1
759,2-3,staan,1
760,2-3,verliezen,4
761,2-3,winnen,2
762,"2-3,4,5",komen,1
763,2-4,scoren,1
764,2-4,verliezen,2
765,2-4,winnen,1
766,2-5,verliezen,1
767,2-7,spelen,1
768,2-daagse,sportevenement,1
769,2.000.000.000,kosten,1
770,2.een,uitklappen,1
771,2.vers,eten,1
772,20,<unk>,1
773,20,denken,1
774,20,doen,1
775,20,gaan,1
776,20,geven,1
777,20,hebben,2
778,20,laten,1
779,20,zeggen,1
780,20-05-14,gaan,1
781,20-19,voeden,1
782,20-jarig,leeftijd,1
783,20.000,hebben,1
784,200,kopen,1
785,200,kunnen,1
786,200,stop,1
787,200,werken,1
788,200,zijn,1
789,200.00000,hebben,1
790,2006,geboren,1
791,2012,hebben,1
792,2012,vinden,1
793,2013,beginnen,1
794,2013,breken,1
795,2013,doen,1
796,2014,geboren,1
797,2014,wens,1
798,2014,worden,2
799,2015,typen,1
800,2020,mischien,1
801,2025,staat,1
802,2028,zien,1
803,2034,klinken,1
804,2040,staat,1
805,20:00,doen,1
806,20:05,zeggen,1
807,20:24,worden,1
808,20e,bier,1
809,20e,eeuw,3
810,20e,keren,1
811,20ste,jaar,1
812,20ste,minuut,1
813,20ste,verjaardag,1
814,21,eindigen,1
815,21,hebben,1
816,21,vertrek,1
817,21,vinden,1
818,21,wacht,1
819,21,wandelen,1
820,21-22,hebben,1
821,21.00,denken,1
822,21.ik,zijn,1
823,213,zijn,1
824,21e,eeuw,4
825,21ste,keren,1
826,21ste,minuut,1
827,22,hebben,1
828,22,maken,1
829,22,moeten,1
830,22,staan,1
831,2211,komen,1
832,23,dansen,1
833,23,hebben,2
834,23,worden,1
835,23-meterlijn,heten,1
836,23:30,zit,1
837,23e,keren,1
838,24,hebben,3
839,24,zijn,1
840,24/7,spel,1
841,24/7,zit,1
842,240,leer,1
843,24e,film,1
844,24e,trouw,1
845,25,geven,1
846,25,hebben,1
847,25,houden,1
848,25,scoren,1
849,25,worden,1
850,25,zeggen,2
851,"25,-",pakken,1
852,"25,000",verdienen,1
853,25-03-2014,voetballen,1
854,25.000,wonen,1
855,250.000,geven,1
856,2500,krijgen,1
857,25307,vinden,1
858,25ste,minuut,1
859,25º,graad,1
860,26,gooien,1
861,26,hebben,1
862,2667155,zeggen,1
863,26e,hebben,1
864,26ste,hebben,1
865,27,hebben,1
866,"27,50",ophalen,1
867,2706,zeggen,1
868,27e,verdieping,1
869,28,eten,1
870,28,schrijven,1
871,28,staat,1
872,28,vinden,1
873,28e,minuut,1
874,29,lukken,1
875,29,rekenen,1
876,29,uitkiezen,1
877,29,winnen,1
878,2:0,staan,1
879,2:30,gaan,1
880,2:alt-saxofoon,bespelen,1
881,2de,cake,1
882,2de,dag,1
883,2de,dier,2
884,2de,divisie,2
885,2de,dromen,1
886,2de,goal,1
887,2de,groep,2
888,2de,helft,6
