lemma1,lemma2,freq
moderne,huizen,1
vrouw,hebben,65
boskat,hebben,1
landsheez,hebben,1
heeeeeeeeeele,hond,2
lieve,hond,156
ik,wonen,766
prachtig,uitzicht,7
privéjacht,hebben,1
heel,privéjacht,1
mooi,privéjacht,1
zij,tijdloop,1
ik,tijdloop,1
die,vinden,1299
je,vinden,1333
vuursalamander,hebben,1
vogel,kijken,75
blauw,hemelen,1
vliegtuig,vliegen,176
snelheid,maken,5
hoge,snelheid,5
vogel,proberen,6
het,proberen,185
iets,proberen,7
looping,doen,1
hij,doen,1441
het,lukken,418
iets,weet,99
klein,vliegtuig,12
stoel,hebben,202
dat,veranderen,47
je,veranderen,49
ze,komen,2339
ze,springen,619
je,springen,214
kwispelstaart,hebben,1
lieven,kwispelstaart,1
lieven,tong,1
ze,maken,1908
big,zien,6
geit,zien,7
niemand,gaan,44
klomp,gaan,1
puzzeltocht,gaan,1
botsing,hebben,4
je,rijen,246
ik,mogen,1328
ze,slaan,846
alles,doen,613
jijen,mishandelen,6
je,slaan,207
afkorting,vinden,64
je,snappen,188
ik,laten,751
ze,laten,1414
w8,wachten,97
bdlje,bedoelen,1
wat,schrijven,256
ik,schrijven,1003
ik,hopen,1900
we,laten,369
je,letten,270
wij,zien,84
professor,zien,10
we,zien,992
eiertruc,zien,1
je,breken,23
ei,breken,2
professor,zeggen,11
professor,pakken,3
ei,pakken,12
kind,krijgen,551
mobiel,krijgen,305
ze,kijken,703
luchten,gebruik,1
fris,luchten,619
ze,snuffelen,86
ze,lik,198
ze,wake,25
hobby,hebben,168
hobby,dansen,62
ik,hou,2457
beet,hou,2
veel,hou,257
wat,afval,3
ik,teken,100
hobby,teken,34
het,schrijven,838
je,zingen,40
jury,bepalen,2
kind,houden,69
niets,zit,1
werkstuk,gaan,3
je,opzoeken,101
mens,zeggen,396
vierkant,oog,118
lente,vinden,31
nieuw,bloem,4
bloem,vinden,9
mooi,kleur,62
ze,rui,257
ik,lauren,1
broer,hebben,303
babsie,heten,2
vincent,werken,1
klusje,doen,66
ding,maken,256
goed,tijd,26
die,houden,193
jantje,gaan,31
leeuuw,horen,1
hij,zijn,1336
jantje,vallen,2
bloeding,hebben,3
teen,hebben,11
